1862,12,2,Tuesday,DWR_1862_12-1.jpg
NAIRN,29.74,42,2,0
ABERDEEN,29.8,43,2,0.2
LEITH,29.71,44,2,0
BERWICK,29.74,45,3,0
ARDROSSAN,29.61,41,1,0
PORTRUSH,999,39,2,0
GALWAY,29.37,45,1,0
VALENTIA,29.23,50,3,0.34
QUEENSTOWN,29.3,50,1,0.46
HOLYHEAD,29.46,45,2,0
LIVERPOOL,29.59,44,1,0
PEMBROKE,29.41,46,1,0
PENZANCE,29.32,51,1,0
PLYMOUTH,29.36,49,2,0.1
JERSEY,29.42,46,2,0
WEYMOUTH,29.46,49,2,0.07
PORTSMOUTH,29.5,47,2,0.07
DOVER,29.63,43,1,0
LONDON,29.59,42,2,0.02
YARMOUTH,29.69,44,3,0
SCARBOROUGH,29.71,44,2,0
SHIELDS,29.71,45,3,0
HELIGOLAND,29.97,33,2,0
HELDER,29.78,32,999,0
COPENHAGEN,30.23,36,999,0
BREST,29.3,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,48,999,0
LISBON,999,999,999,999
