1863,11,16,Monday,DWR_1863_11-14.jpg
NAIRN,29.81,44,1,0.27
ABERDEEN,29.79,47,1,0
LEITH,29.83,54,2,0
SHIELDS,29.95,53,3,0
SCARBOROUGH,30.01,51,2,0
GREENCASTLE,29.9,49,1,0.15
GALWAY,29.97,52,0,0.41
VALENTIA,30.03,52,2,0
QUEENSTOWN,29.96,53,1,0
LIVERPOOL,30.06,53,2,0
HOLYHEAD,30.01,55,0,0.4
PEMBROKE,30.15,52,0,0.22
PENZANCE,30.23,53,0,0.15
BREST,30.28,50,0,0.16
LORIENT,30.28,46,1,0
ROCHEFORT,30.32,46,1,0
PLYMOUTH,30.23,53,1,0.21
WEYMOUTH,30.23,53,1,0.13
PORTSMOUTH,30.21,51,1,0
LONDON,30.19,50,2,0
DOVER,30.23,51,1,0
YARMOUTH,30.05,47,1,0
HELIGOLAND,30.17,48,0,0.1
