1862,8,11,Monday,DWR_1862_08-8.jpg
NAIRN,30.04,54,51,0.2
ABERDEEN,30.06,55,49,0
LEITH,30.04,57,53,0
BERWICK,30.05,58,53,0
ARDROSSAN,30.03,999,999,0
PORTRUSH,30.04,53,50,0
GALWAY,30.1,61,59,0
VALENTIA,29.97,62,60,0
QUEENSTOWN,30.09,61,60,0
HOLYHEAD,30.08,57,54,0
LIVERPOOL,30.1,58,55,0
PEMBROKE,30.15,60,58,0
PENZANCE,30.2,60,59,0
PLYMOUTH,30.17,62,57,0
JERSEY,30.21,60,56,0.14
WEYMOUTH,30.15,61,57,0
PORTSMOUTH,30.11,59,56,0
DOVER,30.11,64,60,0
LONDON,30.12,59,55,0
YARMOUTH,30.05,58,55,0
SCARBOROUGH,30.11,58,55,0
SHIELDS,30.05,57,53,0
HELIGOLAND,29.92,57,56,0.1
HELDER,30.01,59,999,0
COPENHAGEN,29.8,59,999,0
BREST,30.19,59,999,0
BAYONNE,999,64,999,0
LISBON,999,73,999,0
