1862,4,26,Saturday,DWR_1862_04-21.jpg
NAIRN,29.99,46,43,0
ABERDEEN,30,48,45,0
LEITH,29.99,44,42,0
BERWICK,30.03,47,44,0.25
ARDROSSAN,29.95,47,45,0
PORTRUSH,29.97,50,49,0
GALWAY,29.92,48,46,0
SHIELDS,30.01,46,43,0
SCARBOROUGH,29.97,48,47,0
HELIGOLAND,29.93,50,49,0
LIVERPOOL,29.96,49,47,0
QUEENSTOWN,29.86,53,51,0
VALENTIA,29.94,48,44,0
YARMOUTH,29.96,50,48,0
LONDON,29.92,56,54,0.2
DOVER,29.91,54,999,0.3
PORTSMOUTH,29.87,54,53,0.3
PORTLAND,29.87,53,52,0.13
PLYMOUTH,29.85,53,52,0.1
PENZANCE,29.92,54,53,0.46
JERSEY,29.94,53,51,0.24
COPENHAGEN,29.86,47,999,0
HELDER,30,51,999,0
BREST,29.99,54,999,0
BAYONNE,999,63,999,0
LISBON,30.02,59,999,0
