1863,11,17,Tuesday,DWR_1863_11-16.jpg
NAIRN,29.85,39,1,0.25
ABERDEEN,29.88,46,1,0.5
LEITH,29.89,49,1,0
SHIELDS,29.93,54,2,0
SCARBOROUGH,29.95,52,1,0
GREENCASTLE,29.9,47,1,0.45
GALWAY,29.93,51,1,0.7
VALENTIA,29.96,53,1,999
QUEENSTOWN,29.88,54,1,0
LIVERPOOL,29.99,54,3,0
HOLYHEAD,29.97,53,0,0.16
PEMBROKE,30.11,52,1,0.12
PENZANCE,30.2,51,1,0
BREST,30.24,52,3,0
LORIENT,30.24,45,0,0.04
ROCHEFORT,30.32,37,2,0
PLYMOUTH,30.21,52,3,0.16
WEYMOUTH,30.2,52,2,0.16
LONDON,30.16,50,3,0
DOVER,30.21,52,1,0
YARMOUTH,30.07,49,2,0
HELIGOLAND,30.03,49,0,0.04
