1863,10,15,Thursday,DWR_1863_10-12.jpg
NAIRN,29.57,52,3,0
ABERDEEN,29.64,53,2,0.15
LEITH,29.61,53,3,0
SHIELDS,29.69,55,2,0
SCARBOROUGH,29.71,53,1,0
GREENCASTLE,29.48,52,1,0
GALWAY,29.43,51,1,0.1
VALENTIA,29.41,50,1,0.28
QUEENSTOWN,29.29,54,0,0
LIVERPOOL,29.63,54,2,0.07
HOLYHEAD,29.54,55,1,0.3
PEMBROKE,29.54,55,1,0
PENZANCE,29.55,55,1,0
BREST,29.57,55,0,0
LORIENT,29.57,54,0,0.47
ROCHEFORT,29.65,57,0,0.24
PLYMOUTH,29.57,57,2,0
WEYMOUTH,29.6,55,1,0.15
PORTSMOUTH,29.63,57,2,0.1
LONDON,29.66,53,2,0.02
DOVER,29.65,58,0,0.35
YARMOUTH,29.72,57,1,0
HELIGOLAND,999,999,999,999
