1863,10,7,Wednesday,DWR_1863_10-5.jpg
NAIRN,30.11,32,2,0
ABERDEEN,30.15,48,5,0
LEITH,30.01,48,3,0
SHIELDS,29.98,50,3,0
SCARBOROUGH,29.94,51,2,0
GREENCASTLE,29.9,48,4,0
GALWAY,29.69,46,2,0.4
VALENTIA,29.55,44,1,0.47
QUEENSTOWN,999,54,0,0.51
LIVERPOOL,29.8,49,4,0
HOLYHEAD,29.72,48,0,0
PEMBROKE,29.59,49,1,0.34
PENZANCE,29.51,49,1,0.5
BREST,29.57,48,1,0.55
LORIENT,29.53,48,0,0.39
ROCHEFORT,29.61,55,0,0.55
PLYMOUTH,29.54,52,1,0
WEYMOUTH,29.62,55,4,0
PORTSMOUTH,29.66,55,2,0.18
LONDON,29.73,52,2,0.05
DOVER,29.78,55,1,0
YARMOUTH,29.81,55,1,0
HELIGOLAND,30.02,53,0,0
