1863,3,20,Friday,DWR_1863_03-17.jpg
NAIRN,29.36,45,3,0.6
ABERDEEN,29.39,47,4,0
LEITH,29.51,46,3,0
ARDROSSAN,29.55,45,1,0.25
PORTRUSH,29.58,43,2,0
GALWAY,29.91,48,3,0.15
VALENTIA,29.98,50,1,0.05
QUEENSTOWN,29.01,49,1,0
HOLYHEAD,29.83,48,2,0
LIVERPOOL,29.84,49,2,0.01
PEMBROKE,29.99,49,1,0.12
PENZANCE,30.1,51,1,0
BREST,30.12,50,0,0.47
LORIENT,30.12,52,1,0.16
ROCHEFORT,30.2,41,1,0.35
PLYMOUTH,30.03,50,1,0.1
WEYMOUTH,30,50,2,0.23
PORTSMOUTH,29.95,46,1,0.11
KEW,29.97,43,1,0
LONDON,29.97,44,1,0.03
YARMOUTH,29.93,41,2,0
SCARBOROUGH,29.74,44,1,0
SHIELDS,29.78,48,2,0
HELIGOLAND,29.97,36,0,0
COPENHAGEN,29.8,36,999,0
HELDER,29.98,42,999,0
LISBON,29.97,52,999,0
