1862,7,22,Tuesday,DWR_1862_07-22.jpg
NAIRN,30.1,55,49,0
ABERDEEN,30.09,54,48,0.15
LEITH,?30.07,58,52,0
BERWICK,30.15,56,53,0
ARDROSSAN,30.12,56,54,0
PORTRUSH,30.19,52,50,0
GALWAY,30.21,55,53,0
VALENTIA,30.21,51,50,0
QUEENSTOWN,30.17,58,55,999
MILFORD,30.25,59,56,0
HOLYHEAD,30.18,58,53,0
LIVERPOOL,30.21,58,54,0
PENZANCE,30.26,58,57,0
PLYMOUTH,30.24,59,55,0
JERSEY,30.29,63,60,0
PORTLAND,30.25,60,55,0
PORTSMOUTH,30.24,60,55,0
DOVER,?30.23,999,999,0
LONDON,30.26,58,53,0
YARMOUTH,30.23,57,52,0
SCARBOROUGH,30.17,57,53,0
SHIELDS,30.16,54,49,0
HELIGOLAND,30.06,54,53,0
HELDER,30.17,58,999,0
COPENHAGEN,29.86,55,999,0
BREST,999,52,999,0
BAYONNE,999,67,999,0
LISBON,999,999,999,999
