1863,7,9,Thursday,DWR_1863_07-7.jpg
NAIRN,30.19,64,5,0
ABERDEEN,30.21,63,5,0
LEITH,30.24,62,4,0
SHIELDS,30.31,64,5,0
SCARBOROUGH,30.27,63,5,0
GREENCASTLE,30.23,60,3,0
GALWAY,30.27,65,2,0
VALENTIA,30.29,60,3,0
QUEENSTOWN,30.28,63,3,0
LIVERPOOL,30.3,63,3,0
HOLYHEAD,30.27,63,2,0
PEMBROKE,30.2,61,1,0
PENZANCE,30.31,60,1,0
BREST,30.28,63,2,0
LORIENT,30.2,61,2,0
ROCHEFORT,30.2,64,5,0
PLYMOUTH,30.3,65,4,0
WEYMOUTH,30.28,68,6,0
PORTSMOUTH,30.23,65,6,0
LONDON,30.26,63,5,0
DOVER,30.24,999,999,0
YARMOUTH,30.24,65,5,0
HELDER,30.17,61,999,0
HELIGOLAND,30.17,60,2,0.05
