1861,9,4,Wednesday,DWR_1861_09-2.jpg
NAIRN,29.5,57,54,
ABERDEEN,29.53,56,54,
LEITH,29.63,59,56,
BERWICK,29.59,60,55,
ARDROSSAN,29.72,58,55,
PORTRUSH,29.71,57,56,
SHIELDS,29.72,59,55,
GALWAY,29.84,60,59,
SCARBOROUGH,29.78,57,56,
LIVERPOOL,29.84,61,56,
VALENTIA,29.91,62,61,
QUEENSTOWN,29.84,63,62,
YARMOUTH,29.91,58,57,
LONDON,29.96,60,56,
DOVER,30.04,64,62,
PORTSMOUTH,30.05,63,61,
PORTLAND,30.03,62,58,
PLYMOUTH,30.02,63,61,
PENZANCE,30.07,61,60,
COPENHAGEN,29.6,59,999,
HELDER,29.85,62,999,
BREST,30.12,60,999,
BAYONNE,30.21,71,999,
LISBON,30.16,72,999,
