1872,1,14,Sunday,DWR_1872_01-26.jpg,,,,,
CHRISTIANSUND,29.35,46,38,999,999,0,999,999,999
SKUDDESNAES,29.28,40,37,999,999,0,999,999,999
THURSO,999,44,39,45,42,0.63,999,999,999
WICK,999,42,39,45,40,0.6,999,999,999
OXO,29.6,37,37,999,999,0,999,999,999
NAIRN,29.47,42,40,45,41,1.01,999,999,999
ABERDEEN,29.44,43,39,47,41,0.31,999,999,999
LEITH,29.6,42,39,53,41,0.11,999,999,999
ARDROSSAN,29.63,44,41,50,43,0.72,999,999,999
GREENCASTLE,29.81,40,38,48,38,0.74,999,999,999
SHIELDS,29.63,42,41,51,42,0.03,999,999,999
SCARBOROUGH,29.71,41,40,52,40,0.1,999,999,999
LIVERPOOL,29.79,44,40,53,42,0.01,999,999,999
HOLYHEAD,999,999,999,999,999,999,999,999,999
HELDER,999,999,999,999,999,999,999,999,999
YARMOUTH,29.87,44,43,48,35,0.92,999,999,999
VALENTIA,30,45,43,47,42,0.05,999,999,999
ROCHESPOINT,30.33,40,38,50,37,999,999,999,999
PEMBROKE,29.92,45,42,50,45,0.18,999,999,999
LONDON,29.85,42,40,52,40,0.28,999,999,999
DOVER,29.86,42,41,48,41,0.25,999,999,999
CAPGRISNEZ,29.76,45,43,46,41,0.35,999,999,999
PORTSMOUTH,29.9,43,42,50,41,0.32,999,999,999
PLYMOUTH,29.96,45,44,53,43,0.45,999,999,999
PENZANCE,999,999,999,999,999,999,999,999,999
SCILLY,30.03,47,43,53,45,0.24,999,999,999
BREST,999,46,44,54,44,0.28,999,999,999
LORIENT,30.04,47,45,55,46,0.2,999,999,999
ROCHEFORT,30.11,48,46,999,46,0.2,999,999,999
BIARRITZ,30.23,51,47,54,47,0,999,999,999
