1862,12,13,Saturday,DWR_1862_12-12.jpg
NAIRN,29.55,39,2,0
ABERDEEN,29.62,39,1,0.2
LEITH,29.67,45,2,0
BERWICK,29.7,42,2,0
ARDROSSAN,29.68,45,1,0.5
PORTRUSH,?29.62,42,999,0
GALWAY,29.84,43,2,0.25
VALENTIA,29.95,46,2,999
QUEENSTOWN,29.94,45,1,0.41
HOLYHEAD,29.81,49,2,0.4
LIVERPOOL,29.82,47,1,0.04
PEMBROKE,29.9,49,0,0.34
PENZANCE,30,51,1,0.5
PLYMOUTH,30.01,49,0,0
JERSEY,30.21,45,1,0
WEYMOUTH,30.03,49,1,0.15
PORTSMOUTH,30.07,47,2,0.07
DOVER,30.14,46,2,0
LONDON,30.06,44,2,0
YARMOUTH,30.05,42,2,0
SCARBOROUGH,29.78,43,1,0.5
SHIELDS,29.71,45,2,0
HELIGOLAND,30.21,42,1,0
HELDER,30.17,40,999,0
COPENHAGEN,30.15,40,999,0
BREST,30.13,51,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,36,999,0
LISBON,999,999,999,999
