1862,12,5,Friday,DWR_1862_12-5.jpg
NAIRN,29.81,46,1,0
ABERDEEN,29.94,48,1,0.8
LEITH,29.85,50,2,0
BERWICK,29.99,47,1,0
ARDROSSAN,29.84,48,1,999
PORTRUSH,999,999,999,999
GALWAY,29.53,50,1,0.18
VALENTIA,29.43,51,0,0.44
QUEENSTOWN,29.53,51,0,999
HOLYHEAD,29.74,52,2,0.15
LIVERPOOL,29.88,50,2,0
PEMBROKE,29.79,51,1,0.36
PENZANCE,29.8,54,1,0.45
PLYMOUTH,29.88,53,1,0.24
JERSEY,30.06,50,1,0.09
WEYMOUTH,29.96,52,1,0
PORTSMOUTH,30,50,1,0
DOVER,30.08,48,4,0
LONDON,30.04,50,1,0
YARMOUTH,30.09,47,1,0
SCARBOROUGH,29.99,46,1,0.32
SHIELDS,29.96,47,2,0
HELIGOLAND,30.31,29,999,0
HELDER,30.16,35,999,0
COPENHAGEN,30.43,31,999,0
BREST,29.91,53,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,44,999,0
LISBON,30.3,53,999,0
