1862,6,27,Friday,DWR_1862_06-30.jpg
NAIRN,29.68,54,50,0.17
ABERDEEN,29.63,50,47,0.17
LEITH,29.63,54,49,0
BERWICK,29.63,55,50,0
ARDROSSAN,29.65,54,51,0.08
PORTRUSH,999,52,48,0
GALWAY,30.03,55,51,0
VALENTIA,30.06,56,50,0
QUEENSTOWN,30.03,56,54,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.8,54,50,0.05
PENZANCE,30.03,57,55,0
PLYMOUTH,29.94,58,51,0
JERSEY,29.97,60,56,0
PORTLAND,29.92,58,52,0
PORTSMOUTH,29.88,57,53,0
DOVER,?29.85,61,54,0
LONDON,29.86,56,50,0
YARMOUTH,29.78,56,53,0
SCARBOROUGH,29.68,55,51,0
SHIELDS,29.64,53,49,0
HELIGOLAND,29.71,55,53,0.35
HELDER,29.75,56,999,0
COPENHAGEN,29.71,64,999,0
BREST,29.99,56,999,0
BAYONNE,999,66,999,0
LISBON,999,999,999,999
