1870,6,30,Thursday,DWR_1870_06-58.jpg
HEARTSCONTENT,999,999,999,
CHRISTIANSUND,29.76,55, NaN,
SKUDDESNAES,29.82,52, NaN,
THURSO,29.93,51,0.12,
WICK,29.91,55,0,
OXO,29.77,56, NaN,
NAIRN,29.96,54,0,
ABERDEEN,29.98,54,0,
LEITH,29.99,57,0,
ARDROSSAN,30.07,53,0,
GREENCASTLE,30.12,55,0.02,
SHIELDS,30.03,55,0,
SCARBOROUGH,30.05,56,0,
LIVERPOOL,?30.06,56,0,
HOLYHEAD,30.14,53,0,
HELDER,29.99,55, NaN,
YARMOUTH,30.04,55,0,
VALENTIA,30.3,57,0,
ROCHESPOINT,30.23,55,0,
PEMBROKE,30.15,53,0,
LONDON,30.06,59,0,
CAPECLEAR,999,999,999,
CAPGRISNEZ,30.04,56,0,
BRUSSELS,999,999, NaN,
PORTSMOUTH,30.07,59,0,
PLYMOUTH,30.15,57,0,
PENZANCE,30.19,58,0,
PARIS,999,999,999,
STRASBOURG,999,999, NaN,
BREST,999,57,0,
LORIENT,30.14,55,0,
ROCHEFORT,30.05,65,0,
LYONS,999,999, NaN,
BIARRITZ,30.06,68,0.24,
CORUNNA,999,999, NaN,
TOULON,29.95,71,0,
