1862,1,30,Thursday,DWR_1862_01-29.jpg
NAIRN,29.4,41,40,999
ABERDEEN,29.37,42,41,999
LEITH,29.42,44,42,999
BERWICK,29.42,44,42,999
ARDROSSAN,29.51,46,45,999
PORTRUSH,29.53,44,43,999
SHIELDS,29.46,44,43,999
GALWAY,29.64,46,45,999
SCARBOROUGH,29.49,46,43,0.24
LIVERPOOL,29.66,47,45,999
VALENTIA,29.65,51,50,0.52
QUEENSTOWN,29.74,49,48,999
YARMOUTH,29.6,47,45,999
LONDON,29.72,50,48,0.1
DOVER,29.71,50,49,999
PORTSMOUTH,29.82,50,49,0.09
PORTLAND,29.81,51,50,0.1
PLYMOUTH,29.85,51,50,999
PENZANCE,29.89,52,51,0.25
COPENHAGEN,29.34,36,999,999
HELDER,29.54,43,999,999
BREST,30.03,52,999,999
BAYONNE,30.56,44,999,999
LISBON,999,999,999,999
