1862,12,1,Monday,DWR_1862_12-0.jpg
NAIRN,29.8,33,2,0.21
ABERDEEN,29.84,43,1,0.27
LEITH,29.79,40,2,0
BERWICK,29.82,39,2,0
ARDROSSAN,29.71,36,2,0
PORTRUSH,999,39,2,0
GALWAY,29.55,40,1,0.23
VALENTIA,29.4,47,4,0.37
QUEENSTOWN,29.47,46,2,0.33
HOLYHEAD,29.63,40,1,0
LIVERPOOL,29.72,40,1,0
PEMBROKE,29.59,43,1,0
PENZANCE,29.5,48,1,0
PLYMOUTH,29.54,46,2,0.25
JERSEY,29.58,44,1,0
PORTSMOUTH,29.62,44,1,0.16
DOVER,29.72,44,1,0.19
LONDON,29.71,40,1,0
YARMOUTH,29.77,44,1,0.04
WEYMOUTH,29.59,48,1,0
SCARBOROUGH,29.78,44,1,0.32
SHIELDS,29.78,41,3,0
HELIGOLAND,30.03,39,3,0
HELDER,29.87,35,999,0
COPENHAGEN,30.31,38,999,0
BREST,29.41,43,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,48,999,0
LISBON,999,999,999,999
