1862,4,21,Monday,DWR_1862_04-16.jpg
NAIRN,29.86,44,42,0
ABERDEEN,29.87,46,43,0
LEITH,29.88,46,44,0
BERWICK,29.9,51,48,0
ARDROSSAN,29.82,50,48,0.45
PORTRUSH,29.81,49,41,0
GALWAY,29.72,56,54,0
SHIELDS,29.88,51,48,0
SCARBOROUGH,29.89,53,51,0
HELIGOLAND,29.99,54,48,0
LIVERPOOL,29.93,54,51,0.04
QUEENSTOWN,29.84,55,54,0
VALENTIA,29.75,55,53,0.04
YARMOUTH,29.96,54,52,0
LONDON,30.02,54,50,0
DOVER,30.03,55,53,0
PORTSMOUTH,30.03,53,51,0
PORTLAND,30.02,53,52,0.06
PLYMOUTH,30.08,54,53,0
PENZANCE,30,54,53,0
JERSEY,30.11,54,51,0
COPENHAGEN,999,999,999,999
HELDER,29.96,50,999,0
BREST,30.07,53,999,0
BAYONNE,999,59,999,0
LISBON,30.17,63,999,0
