1862,2,12,Wednesday,DWR_1862_02-11.jpg
NAIRN,30.17,47,45,0
ABERDEEN,30.13,42,41,0
LEITH,30.14,38,37,0
BERWICK,30.15,43,41,0
ARDROSSAN,30.19,41,40,0
PORTRUSH,30.21,40,38,0
GALWAY,30.27,40,39,0
SHIELDS,30.12,43,42,0
SCARBOROUGH,30.09,42,41,0.23
HELIGOLAND,29.9,34,?33,0
LIVERPOOL,30.14,42,41,0.08
QUEENSTOWN,30.24,43,42,0
VALENTIA,?30.19,41,39,0
YARMOUTH,30.06,42,41,0
LONDON,30.08,42,41,0.01
DOVER,30.06,42,41,0
PORTSMOUTH,30.1,39,38,0.07
PORTLAND,30.13,42,40,0.06
PLYMOUTH,30.14,37,36,0
PENZANCE,30.2,42,41,0
COPENHAGEN,29.75,29,999,0
HELDER,29.97,39,999,0
BREST,30.16,42,999,0
BAYONNE,30.18,29,999,0
LISBON,30.07,36,999,0
