1862,1,8,Wednesday,DWR_1862_01-7.jpg
NAIRN,29.26,47,46,999
ABERDEEN,29.3,44,43,999
LEITH,29.34,48,46,999
BERWICK,?29.32,48,46,999
ARDROSSAN,29.37,47,45,0.48
PORTRUSH,29.4,44,43,999
SHIELDS,29.43,43,41,999
GALWAY,29.62,42,40,999
SCARBOROUGH,29.51,45,44,999
LIVERPOOL,29.59,47,46,0.09
VALENTIA,29.75,46,43,0.35
QUEENSTOWN,29.7,44,43,999
YARMOUTH,29.7,42,40,999
LONDON,29.71,46,45,999
DOVER,29.77,?45,43,999
PORTSMOUTH,29.73,46,45,999
PORTLAND,29.71,50,49,0.05
PLYMOUTH,29.71,49,48,999
PENZANCE,29.7,49,47,0.7
COPENHAGEN,29.66,36,999,999
HELDER,29.85,41,999,999
BREST,29.85,51,999,999
BAYONNE,30.15,42,999,999
LISBON,999,999,999,999
