1862,8,30,Saturday,DWR_1862_08-25.jpg
NAIRN,30.22,55,53,0
ABERDEEN,30.21,55,999,0
LEITH,30.2,57,55,0
BERWICK,30.23,59,56,0
ARDROSSAN,30.16,58,56,0
PORTRUSH,30.16,58,55,0
GALWAY,30.16,55,52,0
VALENTIA,30.18,58,57,0
QUEENSTOWN,30.14,59,58,0
HOLYHEAD,30.13,58,54,0
LIVERPOOL,30.18,57,53,0
PEMBROKE,30.13,59,58,0
PENZANCE,30.14,60,59,0
PLYMOUTH,30.15,60,59,0
JERSEY,30.14,62,59,0
WEYMOUTH,30.13,57,53,0.43
PORTSMOUTH,30.12,57,53,0
DOVER,30.09,64,61,0
LONDON,30.14,58,55,0
YARMOUTH,30.1,61,58,0
SCARBOROUGH,30.17,57,56,0
SHIELDS,30.19,57,54,0
HELIGOLAND,30.14,60,57,0
HELDER,30.09,60,999,0
COPENHAGEN,30.15,57,999,0
BREST,30.12,58,999,0
BAYONNE,999,59,999,0
LISBON,999,999,999,0
