1863,10,16,Friday,DWR_1863_10-13.jpg
NAIRN,29.46,49,3,0.1
ABERDEEN,29.47,51,2,0.11
LEITH,29.55,53,3,0
SHIELDS,29.61,53,3,0
SCARBOROUGH,29.65,50,1,0.54
GREENCASTLE,29.57,49,1,0.11
GALWAY,29.66,52,3,0
VALENTIA,29.67,50,1,0.11
QUEENSTOWN,29.59,52,1,0
LIVERPOOL,29.69,52,2,0.08
HOLYHEAD,29.56,55,1,0.22
PEMBROKE,29.76,53,2,0.14
PENZANCE,29.85,53,1,0
BREST,29.92,55,2,0
LORIENT,29.92,54,3,0.12
ROCHEFORT,30.04,52,0,0.2
PLYMOUTH,29.85,55,2,0
WEYMOUTH,29.85,54,4,0.24
PORTSMOUTH,29.84,54,2,0.5
LONDON,29.81,50,3,0.17
DOVER,29.79,58,2,0.5
YARMOUTH,29.77,53,1,0
HELIGOLAND,29.82,57,0,0
