1862,1,9,Thursday,DWR_1862_01-8.jpg
NAIRN,29.25,42,40,999
ABERDEEN,29.31,39,38,999
LEITH,29.3,46,44,999
BERWICK,?29.33,45,43,999
ARDROSSAN,29.28,48,47,0.44
PORTRUSH,29.26,44,43,999
SHIELDS,29.47,45,44,999
GALWAY,29.4,50,49,999
SCARBOROUGH,29.57,43,42,999
LIVERPOOL,29.52,46,45,0.1
VALENTIA,29.54,53,52,0.64
QUEENSTOWN,29.55,52,51,999
YARMOUTH,29.73,42,40,999
LONDON,29.78,45,44,0.25
DOVER,29.86,47,46,0.44
PORTSMOUTH,29.83,47,46,999
PORTLAND,29.78,50,49,0.08
PLYMOUTH,29.74,51,50,999
PENZANCE,29.82,52,51,0.5
COPENHAGEN,29.74,34,999,999
HELDER,29.78,44,999,999
BREST,29.97,51,999,999
BAYONNE,30.28,49,999,999
LISBON,999,999,999,999
