1863,9,15,Tuesday,DWR_1863_09-12.jpg
NAIRN,29.8,58,3,0
ABERDEEN,29.81,55,2,0
LEITH,29.91,57,2,0.12
SHIELDS,30.01,59,4,0
SCARBOROUGH,30.08,53,2,0
GREENCASTLE,29.96,55,1,0.13
GALWAY,30.11,56,0,0.35
VALENTIA,30.19,55,0,0.09
QUEENSTOWN,999,57,1,0
LIVERPOOL,30.15,55,4,0
HOLYHEAD,30.12,56,3,0
PEMBROKE,30.24,56,3,0
PENZANCE,30.31,55,1,0
BREST,30.24,50,0,0
LORIENT,30.24,52,2,0
ROCHEFORT,30.24,54,2,0
PLYMOUTH,30.29,57,3,0
WEYMOUTH,30.26,56,5,0
PORTSMOUTH,30.24,57,5,0
LONDON,30.24,56,5,0
DOVER,30.24,59,4,0
YARMOUTH,30.19,53,2,0
HELIGOLAND,30.08,57,0,0.1
