1862,9,11,Thursday,DWR_1862_09-10.jpg
NAIRN,30.02,47,45,0.18
ABERDEEN,30.02,47,45,0.25
LEITH,30.05,50,47,0
BERWICK,30.06,53,49,0
ARDROSSAN,30.05,54,52,0.24
PORTRUSH,30.01,50,44,0
GALWAY,30.13,56,51,0
VALENTIA,30.19,59,56,0
QUEENSTOWN,30.18,56,55,0
HOLYHEAD,30.08,57,54,0
LIVERPOOL,30.11,54,51,0.07
PEMBROKE,30.14,56,55,0
PENZANCE,30.2,55,54,0
PLYMOUTH,30.17,56,53,0
JERSEY,30.15,57,55,0
WEYMOUTH,30.15,56,51,0
PORTSMOUTH,30.11,52,49,0
DOVER,30.1,999,999,0.27
LONDON,30.14,49,47,0.04
YARMOUTH,30.1,50,49,0
SCARBOROUGH,30.06,53,50,0
SHIELDS,30.06,48,45,0
HELIGOLAND,29.94,55,53,0.39
HELDER,30.04,58,999,0
COPENHAGEN,29.84,57,999,0
BREST,30.16,51,999,0
BAYONNE,999,63,999,0
LISBON,999,999,999,999
