1863,5,13,Wednesday,DWR_1863_05-10.jpg
NAIRN,29.29,50,2,0.17
ABERDEEN,29.31,52,2,0.12
LEITH,29.33,56,4,0.18
ARDROSSAN,29.3,50,1,0.25
PORTRUSH,29.3,48,2,0
GALWAY,29.29,49,0,0.5
VALENTIA,29.49,52,4,0.26
QUEENSTOWN,29.47,49,1,0.52
HOLYHEAD,29.43,52,2,0.12
LIVERPOOL,29.5,54,4,0
PEMBROKE,29.58,53,2,0.29
PENZANCE,29.73,55,1,0.5
BREST,29.84,54,1,1.69
LORIENT,29.84,55,3,0.91
ROCHEFORT,30,57,0,0.24
PLYMOUTH,29.7,56,2,0.52
WEYMOUTH,29.71,53,2,0.33
PORTSMOUTH,29.69,57,4,0.33
KEW,29.67,55,4,0
LONDON,29.66,53,2,0.2
DOVER,29.71,55,1,0
YARMOUTH,29.62,53,999,0.48
SCARBOROUGH,29.49,52,3,0.27
SHIELDS,29.45,55,4,0
HELIGOLAND,29.66,51,0,0.17
COPENHAGEN,29.73,55,999,0
HELDER,29.64,54,999,0
LISBON,30.23,65,999,0
