1862,12,29,Monday,DWR_1862_12-25.jpg
COPENHAGEN,29.73,38,999,0
NAIRN,28.96,46,1,0.15
ABERDEEN,29.07,46,1,0.45
LEITH,29.1,48,2,0
ARDROSSAN,29.03,47,1,1.1
PORTRUSH,999,45,0,0
GALWAY,29.22,41,0,0.11
VALENTIA,29.4,47,2,0.5
QUEENSTOWN,29.34,46,1,999
HOLYHEAD,29.14,48,1,0.4
LIVERPOOL,29.3,48,3,0.1
PEMBROKE,29.39,50,3,0.29
BREST,29.53,48,2,0.71
LORIENT,29.76,52,2,0.16
ROCHEFORT,30.08,43,2,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.37,48,999,0
PENZANCE,29.56,50,1,0.35
PLYMOUTH,29.55,50,2,0.25
JERSEY,29.71,49,2,0.07
WEYMOUTH,29.56,49,2,0.12
PORTSMOUTH,29.62,48,2,0.08
LONDON,29.61,48,2,0
YARMOUTH,29.64,46,1,0
HELDER,29.77,44,999,0
HELIGOLAND,29.81,31,0,0
SCARBOROUGH,29.37,46,2,0
SHIELDS,29.38,47,3,0
