1862,2,7,Friday,DWR_1862_02-5.jpg
NAIRN,30.44,32,31,0.19
ABERDEEN,30.42,33,31,999
LEITH,30.4,35,33,999
BERWICK,30.33,42,41,999
ARDROSSAN,30.42,36,?34,999
PORTRUSH,30.37,39,38,999
GALWAY,30.32,33,32,999
SHIELDS,30.3,36,35,999
SCARBOROUGH,30.24,37,36,999
LIVERPOOL,30.25,36,35,999
QUEENSTOWN,30.27,40,?38,999
VALENTIA,30.27,39,37,999
YARMOUTH,30.24,34,32,999
LONDON,30.13,37,33,999
DOVER,30.09,35,33,999
PORTSMOUTH,30.02,40,37,999
PORTLAND,30.07,42,39,999
PLYMOUTH,30,44,43,999
PENZANCE,30.07,46,44,999
COPENHAGEN,30.16,15,999,999
HELDER,30.24,26,999,999
BREST,29.95,45,999,999
BAYONNE,30.1,52,999,999
LISBON,30.3,55,999,999
