1862,9,13,Saturday,DWR_1862_09-12.jpg
NAIRN,29.46,52,51,0.15
ABERDEEN,29.48,58,56,0
LEITH,29.54,60,57,0
BERWICK,29.61,59,56,0
ARDROSSAN,29.54,56,54,0.3
PORTRUSH,999,999,999,999
GALWAY,29.65,58,55,0.48
VALENTIA,29.74,58,57,0.34
QUEENSTOWN,29.8,62,61,0
HOLYHEAD,29.77,59,57,0
LIVERPOOL,29.86,62,58,0
PEMBROKE,999,999,999,999
PENZANCE,30.05,59,58,0
PLYMOUTH,30.04,59,58,0.13
JERSEY,30.12,60,58,0
WEYMOUTH,30.03,60,57,0.08
PORTSMOUTH,30.02,60,55,0
DOVER,30.03,60,58,0
LONDON,30.03,59,57,0
YARMOUTH,30,60,59,0
SCARBOROUGH,29.85,58,56,0
SHIELDS,29.72,62,57,0
HELIGOLAND,30.09,57,54,0
HELDER,30.08,54,999,0
COPENHAGEN,30.15,59,999,0
BREST,30.11,58,999,0
BAYONNE,999,56,999,0
LISBON,999,999,999,999
