1863,3,30,Monday,DWR_1863_03-25.jpg
NAIRN,30.02,35,3,0.29
ABERDEEN,29.96,36,5,0.25
LEITH,30.04,41,4,0
ARDROSSAN,30.03,43,3,0.21
PORTRUSH,29.99,48,2,0
GALWAY,29.97,49,1,0
VALENTIA,30.12,50,2,0
QUEENSTOWN,30.12,50,1,0
HOLYHEAD,30.01,49,2,0
LIVERPOOL,30.02,48,2,0.04
PEMBROKE,30.08,49,2,0
PENZANCE,30.15,50,1,0
BREST,30.12,50,3,0
LORIENT,30.08,50,2,0
ROCHEFORT,30.12,50,2,0
PLYMOUTH,30.1,51,3,0
WEYMOUTH,30.07,50,3,0
PORTSMOUTH,30.01,50,4,0
KEW,30.03,48,4,0
LONDON,30.01,50,3,0
DOVER,29.99,54,3,0
YARMOUTH,30,43,2,0
SCARBOROUGH,29.95,43,3,0
SHIELDS,30.07,40,4,0
HELIGOLAND,29.76,38,2,0
COPENHAGEN,29.46,32,999,0
HELDER,29.94,40,999,0
LISBON,999,999,999,999
