1863,10,9,Friday,DWR_1863_10-7.jpg
NAIRN,29.73,51,1,0
ABERDEEN,29.81,53,0,0
LEITH,29.71,53,1,0
SHIELDS,29.7,53,2,0
SCARBOROUGH,29.66,54,1,0
GREENCASTLE,29.58,54,1,0.2
GALWAY,29.48,54,1,0.15
VALENTIA,29.42,51,2,0.2
QUEENSTOWN,29.34,52,1,999
LIVERPOOL,29.6,57,3,0.13
HOLYHEAD,29.55,54,1,0
PEMBROKE,29.56,52,2,0.45
PENZANCE,29.53,53,3,0.45
BREST,29.49,?64,1,1.65
LORIENT,29.45,46,1,0.43
ROCHEFORT,29.53,50,0,0
PLYMOUTH,29.57,51,2,0.33
WEYMOUTH,29.59,53,3,0.42
PORTSMOUTH,29.59,55,3,0.29
LONDON,29.62,52,1,0.03
DOVER,29.65,56,0,0.5
YARMOUTH,29.62,57,1,0
HELIGOLAND,29.85,55,0,0
