1862,2,14,Friday,DWR_1862_02-13.jpg
NAIRN,30.18,35,34,0
ABERDEEN,30.15,39,38,0
LEITH,30.17,41,38,0
BERWICK,30.19,41,38,0
ARDROSSAN,30.21,41,40,0
PORTRUSH,30.18,41,40,0
GALWAY,30.16,33,32,0
SHIELDS,30.17,40,38,0
SCARBOROUGH,30.13,41,40,0
HELIGOLAND,29.94,37,?36,0
LIVERPOOL,30.17,41,?40,0
QUEENSTOWN,30.14,43,42,0
VALENTIA,30.08,41,38,0
YARMOUTH,30.12,38,37,0
LONDON,30.1,39,37,0
DOVER,30.09,37,36,0
PORTSMOUTH,30.1,38,37,0
PORTLAND,30.1,39,37,0
PLYMOUTH,30.06,39,37,0
PENZANCE,30.1,40,38,0
COPENHAGEN,29.72,30,999,0
HELDER,30.06,37,999,0
BREST,30.01,35,999,0
BAYONNE,29.84,32,999,0
LISBON,29.68,43,999,0
