1862,10,13,Monday,DWR_1862_10-10.jpg
NAIRN,29.34,45,42,0.2
ABERDEEN,29.37,42,40,0.35
LEITH,29.46,50,46,0
BERWICK,29.48,50,47,0
ARDROSSAN,29.47,51,48,0.59
PORTRUSH,29.49,56,54,0
GALWAY,29.6,52,48,0.63
VALENTIA,29.69,53,50,0.83
QUEENSTOWN,29.7,54,53,0.63
HOLYHEAD,29.62,53,50,0.2
LIVERPOOL,29.69,52,47,0.84
PEMBROKE,29.74,54,51,0.84
PENZANCE,29.9,55,54,0.65
PLYMOUTH,29.88,57,55,0.57
JERSEY,29.98,58,56,0.18
WEYMOUTH,29.86,57,55,0.38
PORTSMOUTH,29.85,57,54,0.54
DOVER,29.85,56,53,0.45
LONDON,29.84,54,51,0.31
YARMOUTH,29.78,52,50,0.5
SCARBOROUGH,29.61,51,48,0.35
SHIELDS,29.55,50,45,0
HELIGOLAND,29.59,56,54,0.3
HELDER,29.75,57,999,0
COPENHAGEN,999,999,999,999
BREST,29.99,58,999,0
BAYONNE,999,68,999,0
LISBON,999,999,999,999
