1863,12,30,Wednesday,DWR_1863_12-25.jpg
NAIRN,30.03,38,2,0.47
ABERDEEN,30.01,39,1,0
LEITH,30.07,41,2,0.25
ARDROSSAN,30.15,43,1,0.45
GREENCASTLE,30.16,42,1,0.13
GALWAY,30.2,39,1,0
VALENTIA,30.16,40,1,0.08
CAPE CLEAR,30.22,45,1,0
QUEENSTOWN,30.28,43,1,0
LIVERPOOL,30.16,44,1,0.09
HOLYHEAD,30.16,45,0,0
PEMBROKE,30.23,42,1,0
PENZANCE,30.27,45,2,0
BREST,30.24,43,0,999
LORIENT,30.2,46,0,0.08
ROCHEFORT,30.24,48,1,0
PLYMOUTH,30.25,42,1,0
WEYMOUTH,30.22,42,2,0
PORTSMOUTH,30.21,42,1,0
LONDON,30.15,42,2,0.01
DOVER,30.1,46,4,0
YARMOUTH,30.07,43,2,0
SCARBOROUGH,30.06,42,2,0.35
SHIELDS,30.09,41,3,0.5
HELIGOLAND,29.97,35,2,0.15
