1863,6,10,Wednesday,DWR_1863_06-8.jpg
NAIRN,29.59,52,2,0.35
ABERDEEN,29.62,53,3,0.05
LEITH,29.63,53,3,0
ARDROSSAN,29.63,55,3,0
GREENCASTLE,29.61,53,3,0.2
GALWAY,29.64,54,0,0.25
VALENTIA,29.68,57,6,0.08
QUEENSTOWN,29.64,54,2,0
SHIELDS,29.65,54,3,0
SCARBOROUGH,29.69,53,2,0
LIVERPOOL,29.65,53,2,0.24
HOLYHEAD,29.63,53,2,0
PEMBROKE,29.59,56,2,0.42
PENZANCE,29.55,55,0,0.6
BREST,29.33,57,2,0.08
LORIENT,29.33,57,2,0.04
ROCHEFORT,29.69,59,2,1.57
BAYONNE,29.73,66,999,0
PLYMOUTH,29.53,57,1,0.45
WEYMOUTH,29.52,55,1,0.12
PORTSMOUTH,29.51,57,1,0.33
LONDON,29.59,60,4,0.09
DOVER,29.61,57,2,0.35
YARMOUTH,29.66,56,3,0
HELDER,29.78,60,999,0
HELIGOLAND,29.93,53,0,0
COPENHAGEN,30.01,58,999,0
LISBON,30.07,61,999,0
