1863,4,6,Monday,DWR_1863_04-3.jpg
NAIRN,29.17,41,3,0.57
ABERDEEN,29.24,42,5,0
LEITH,29.29,44,3,0
ARDROSSAN,29.28,44,2,0.75
PORTRUSH,29.27,46,2,0.13
GALWAY,29.36,45,2,0.6
VALENTIA,29.45,46,1,0.43
QUEENSTOWN,29.39,47,1,0.21
HOLYHEAD,29.42,52,3,0.07
LIVERPOOL,29.47,47,3,0.11
PEMBROKE,29.54,47,2,0.37
PENZANCE,29.63,48,0,0
BREST,29.76,50,4,0.04
LORIENT,29.76,52,2,0
ROCHEFORT,29.84,43,1,0
PLYMOUTH,29.62,50,1,0
WEYMOUTH,29.66,50,2,0.07
PORTSMOUTH,29.67,51,4,0
KEW,29.66,49,3,0
LONDON,29.64,50,4,0.02
DOVER,29.74,50,3,0
YARMOUTH,29.62,49,3,0
SCARBOROUGH,29.47,46,2,0
SHIELDS,29.44,47,5,0
HELIGOLAND,29.68,44,0,0.13
COPENHAGEN,29.64,45,999,0
HELDER,29.69,48,999,0
LISBON,29.89,61,999,0
