1862,6,5,Thursday,DWR_1862_06-4.jpg
NAIRN,29.63,54,47,0
ABERDEEN,29.67,52,47,0
LEITH,29.68,55,50,0
BERWICK,29.75,53,50,0.2
ARDROSSAN,29.65,54,52,0.3
PORTRUSH,29.69,54,52,0
GALWAY,29.72,62,57,0
SHIELDS,29.77,54,50,0
SCARBOROUGH,29.81,55,52,0
HELIGOLAND,29.97,62,57,0
LIVERPOOL,29.79,55,52,0.01
QUEENSTOWN,29.73,56,55,0
VALENTIA,29.74,57,999,0.09
YARMOUTH,29.86,57,54,0
LONDON,29.85,58,53,0
DOVER,29.9,62,61,0
PORTSMOUTH,29.8,59,55,0
PORTLAND,29.8,56,52,0
PLYMOUTH,29.73,55,53,0
PENZANCE,29.76,55,52,0.3
JERSEY,29.86,60,55,0
COPENHAGEN,29.99,59,999,0
HELDER,29.88,59,999,0
BREST,29.8,56,999,0
BAYONNE,999,68,999,0
LISBON,30.01,66,999,0
