1863,1,29,Thursday,DWR_1863_01-26.jpg
NAIRN,29.02,44,3,0
ABERDEEN,29.14,46,3,0.25
LEITH,29.25,48,3,0
ARDROSSAN,29.3,47,3,0.65
PORTRUSH,29.29,42,999,0
GALWAY,29.58,49,2,0.25
VALENTIA,29.78,50,2,0.2
QUEENSTOWN,29.81,50,0,999
HOLYHEAD,29.62,48,1,0.12
LIVERPOOL,29.65,49,4,0.06
PEMBROKE,29.86,49,1,0.15
PENZANCE,30,51,1,0.15
JERSEY,999,999,999,999
BREST,30.16,50,0,0
LORIENT,30.16,50,1,0
ROCHEFORT,30.36,41,1,0
PLYMOUTH,30,50,1,0.12
WEYMOUTH,29.99,50,1,0.1
PORTSMOUTH,29.95,48,2,0
KEW,29.92,50,2,0
LONDON,29.92,50,2,0
YARMOUTH,29.84,44,1,0
SCARBOROUGH,29.58,48,1,0
SHIELDS,29.49,48,3,0
HELIGOLAND,29.96,38,0,0
COPENHAGEN,29.87,37,999,0
HELDER,29.92,42,999,0
BAYONNE,999,37,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
