1863,3,2,Monday,DWR_1863_03-0.jpg
NAIRN,29.53,45,2,0.11
ABERDEEN,29.63,44,1,0.35
LEITH,29.63,49,2,0
ARDROSSAN,29.59,47,1,0.25
PORTRUSH,29.51,41,0,0
GALWAY,29.45,50,1,0.25
VALENTIA,29.46,51,0,0.65
QUEENSTOWN,29.72,50,1,0.53
HOLYHEAD,29.68,48,1,0.1
LIVERPOOL,29.78,47,2,0.01
PEMBROKE,29.78,50,1,0.25
PENZANCE,29.82,52,1,0.5
BREST,29.88,54,2,0.12
LORIENT,29.96,52,2,0.08
ROCHEFORT,30.12,39,3,0
PLYMOUTH,29.85,51,1,0
WEYMOUTH,29.91,50,1,0.36
PORTSMOUTH,29.93,49,3,0.17
KEW,29.95,48,1,0
LONDON,29.95,48,1,0.02
YARMOUTH,29.95,46,1,0
SCARBOROUGH,29.83,44,2,0.15
SHIELDS,29.79,48,3,0
HELIGOLAND,29.99,43,0,0
COPENHAGEN,29.93,39,999,0
HELDER,30.01,43,999,0
BAYONNE,999,45,999,0
LISBON,30.17,54,999,0
