1863,4,24,Friday,DWR_1863_04-20.jpg
NAIRN,30.24,41,3,0
ABERDEEN,30.22,45,6,0
LEITH,30.29,44,3,0
ARDROSSAN,30.31,45,2,0.13
PORTRUSH,30.26,45,2,0
GALWAY,30.39,50,0,0
VALENTIA,30.49,53,2,0
QUEENSTOWN,30.47,53,1,0
HOLYHEAD,30.4,48,1,0
LIVERPOOL,30.42,49,6,0
PEMBROKE,30.47,47,2,0
PENZANCE,30.51,52,2,0
BREST,30.47,48,3,0
LORIENT,30.43,46,3,0
ROCHEFORT,30.39,50,2,0
PLYMOUTH,30.49,52,3,0
WEYMOUTH,30.47,49,3,0
PORTSMOUTH,30.44,47,4,0
KEW,30.45,46,6,0
LONDON,30.43,46,5,0
DOVER,30.54,49,4,0
YARMOUTH,30.35,46,1,0
SCARBOROUGH,30.32,45,2,0
SHIELDS,30.35,44,4,0.25
HELIGOLAND,30.12,43,0,0
COPENHAGEN,29.84,41,999,0
HELDER,30.25,45,999,0
LISBON,30.08,63,999,0
