1863,7,27,Monday,DWR_1863_07-22.jpg
NAIRN,30.1,63,4,0.07
ABERDEEN,30.1,63,5,0
LEITH,30.12,63,5,0
SHIELDS,30.2,61,6,0
SCARBOROUGH,30.19,58,3,0
GREENCASTLE,30.19,61,2,0
GALWAY,30.21,67,1,0
VALENTIA,30.19,63,3,0
QUEENSTOWN,30.2,62,2,0
LIVERPOOL,30.23,58,1,0.08
HOLYHEAD,30.17,59,3,0.1
PEMBROKE,30.23,58,2,0
PENZANCE,30.22,60,2,0
BREST,30.16,59,4,0.04
LORIENT,30.12,59,1,0
ROCHEFORT,30.16,63,4,0
PLYMOUTH,30.23,64,2,0
WEYMOUTH,30.23,62,5,0
PORTSMOUTH,30.21,60,3,0.13
LONDON,30.24,59,3,0.18
DOVER,30.26,999,999,0
YARMOUTH,30.22,58,3,0
HELDER,30.22,57,999,0
HELIGOLAND,30.17,58,1,0.27
