1862,9,20,Saturday,DWR_1862_09-18.jpg
NAIRN,30.39,57,56,0
ABERDEEN,30.31,58,56,0
LEITH,30.38,56,54,0
BERWICK,30.41,60,56,0
ARDROSSAN,30.4,58,56,0
PORTRUSH,30.43,59,55,0
GALWAY,30.38,?55,54,0
VALENTIA,30.35,52,50,0
QUEENSTOWN,30.34,55,54,0
HOLYHEAD,30.38,60,55,0
LIVERPOOL,30.41,55,52,0
PEMBROKE,30.36,54,52,0
PENZANCE,30.29,56,55,0
PLYMOUTH,30.26,57,53,0
JERSEY,30.14,60,57,0
WEYMOUTH,30.26,58,55,0
PORTSMOUTH,30.22,58,55,0
DOVER,30.23,999,999,0
LONDON,30.3,58,56,0
YARMOUTH,30.34,60,58,0
SCARBOROUGH,30.43,54,53,0
SHIELDS,30.4,49,47,0
HELIGOLAND,30.32,60,58,0
HELDER,30.33,60,999,0
COPENHAGEN,999,999,999,999
BREST,30.12,58,999,0
BAYONNE,999,63,999,0
LISBON,999,999,999,999
