1863,6,6,Saturday,DWR_1863_06-5.jpg
NAIRN,29.44,51,4,0
ABERDEEN,29.42,50,2,0
LEITH,29.39,49,1,0.17
ARDROSSAN,29.37,52,2,0.34
GREENCASTLE,29.41,54,2,0.45
GALWAY,29.45,57,2,0.35
VALENTIA,29.55,57,3,0.38
QUEENSTOWN,29.5,56,2,0.09
SHIELDS,29.35,53,2,2.53
SCARBOROUGH,29.35,54,4,0
LIVERPOOL,29.42,55,1,0.09
HOLYHEAD,29.41,53,4,0.47
PEMBROKE,999,999,999,999
PENZANCE,29.59,57,1,0.6
BREST,29.65,55,2,1.02
LORIENT,29.65,55,1,0.35
ROCHEFORT,29.84,61,4,0
BAYONNE,29.88,64,999,0
PLYMOUTH,29.55,58,3,0.96
WEYMOUTH,29.52,55,2,0.7
PORTSMOUTH,29.51,54,1,0.54
LONDON,29.48,53,1,0.94
DOVER,29.46,54,1,0
YARMOUTH,29.44,55,1,0.95
HELDER,29.52,55,999,0
HELIGOLAND,29.55,54,0,0.12
COPENHAGEN,29.56,55,999,0
LISBON,999,999,999,999
