1862,12,4,Thursday,DWR_1862_12-3.jpg
NAIRN,29.79,46,2,0
ABERDEEN,29.88,46,1,0
LEITH,29.79,48,2,0
BERWICK,29.9,47,2,0
ARDROSSAN,29.71,46,2,0.18
PORTRUSH,999,999,999,999
VALENTIA,29.43,51,1,0.15
QUEENSTOWN,29.53,52,1,0.15
HOLYHEAD,29.66,46,1,0.5
LIVERPOOL,29.78,47,2,0.1
PEMBROKE,29.65,48,1,0.05
PENZANCE,29.65,52,1,0.25
PLYMOUTH,29.76,52,1,0.25
JERSEY,29.73,51,1,0.74
WEYMOUTH,29.74,51,1,0.17
PORTSMOUTH,29.79,49,1,0.35
DOVER,29.83,45,2,0.46
LONDON,29.79,46,2,0.5
YARMOUTH,29.87,45,1,0.03
SCARBOROUGH,29.85,46,1,0
SHIELDS,29.85,47,1,0
HELIGOLAND,30.18,33,2,0
GALWAY,29.48,50,1,0
HELDER,29.98,33,999,0
COPENHAGEN,30.43,32,999,0
BREST,29.68,50,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,54,999,0
LISBON,999,999,999,999
