1863,12,24,Thursday,DWR_1863_12-21.jpg
NAIRN,29.89,48,4,0
ABERDEEN,29.93,48,4,0
LEITH,29.93,48,2,0
ARDROSSAN,999,999,999,999
GREENCASTLE,30.08,47,1,0.07
GALWAY,30.25,47,1,0.15
VALENTIA,30.31,49,1,0.14
CAPE CLEAR,999,46,1,0
QUEENSTOWN,30.19,48,1,0
LIVERPOOL,30.17,47,2,0
HOLYHEAD,30.18,49,1,0
PEMBROKE,30.27,49,2,0.08
PENZANCE,30.26,49,1,0
BREST,30.36,45,0,0.71
LORIENT,30.28,45,0,0.04
ROCHEFORT,30.36,41,2,0
PLYMOUTH,30.32,48,1,0
WEYMOUTH,30.28,46,1,0.08
PORTSMOUTH,30.21,46,1,0.08
LONDON,30.2,41,2,0
DOVER,30.2,48,1,0
YARMOUTH,30.11,46,1,0
SCARBOROUGH,30.02,48,3,0
SHIELDS,30.02,47,2,0
HELIGOLAND,29.9,40,0,0.15
