1862,6,7,Saturday,DWR_1862_06-6.jpg
NAIRN,28.95,54,50,0
ABERDEEN,29.07,55,51,0.35
LEITH,29.17,60,54,0
BERWICK,29.21,56,52,0
ARDROSSAN,29.13,54,52,0.6
PORTRUSH,29.13,55,53,0
GALWAY,29.31,59,55,0
SHIELDS,29.33,62,57,0
SCARBOROUGH,29.45,60,55,0.36
HELIGOLAND,29.71,60,58,0
LIVERPOOL,29.46,60,54,0.1
QUEENSTOWN,29.45,58,55,0.33
VALENTIA,29.48,59,51,0.3
YARMOUTH,29.64,63,58,0
LONDON,29.69,61,56,0.03
DOVER,29.74,61,58,0
PORTSMOUTH,29.76,60,57,0
PORTLAND,29.74,60,58,0.32
PLYMOUTH,29.68,61,57,0.54
PENZANCE,29.73,58,57,0.85
JERSEY,29.87,58,57,0.19
COPENHAGEN,29.78,67,999,0
HELDER,29.72,63,999,0
BREST,29.82,57,999,0
BAYONNE,999,73,999,0
LISBON,30.1,68,999,0
