1863,10,10,Saturday,DWR_1863_10-8.jpg
NAIRN,29.64,50,2,0.09
ABERDEEN,29.65,54,1,0.2
LEITH,29.53,54,2,0.13
SHIELDS,29.59,55,2,0
SCARBOROUGH,29.6,54,1,0
GREENCASTLE,29.42,51,2,0.32
GALWAY,29.32,49,1,0.15
VALENTIA,29.24,53,3,0.08
QUEENSTOWN,29.15,54,2,0.29
LIVERPOOL,29.46,54,1,0.57
HOLYHEAD,29.35,55,1,0.12
PEMBROKE,29.41,54,1,0.15
PENZANCE,29.42,54,1,0.45
BREST,29.49,54,1,0.83
LORIENT,29.45,55,1,0
ROCHEFORT,29.65,52,0,0.47
PLYMOUTH,29.47,56,1,0.36
WEYMOUTH,29.57,57,2,0.18
PORTSMOUTH,29.63,57,2,0.26
LONDON,29.65,55,2,0.1
DOVER,29.74,61,2,0.08
YARMOUTH,29.73,57,2,0
HELIGOLAND,29.9,55,0,0
