1863,3,24,Tuesday,DWR_1863_03-20.jpg
NAIRN,30.24,44,2,0
ABERDEEN,30.24,45,2,0.15
LEITH,30.28,52,999,0
ARDROSSAN,30.33,48,1,0
PORTRUSH,30.35,49,2,0
GALWAY,30.44,49,0,0
VALENTIA,30.5,50,0,0.07
QUEENSTOWN,30.51,53,1,0
HOLYHEAD,30.44,50,2,0
LIVERPOOL,30.46,49,3,0
PEMBROKE,30.52,50,2,0
PENZANCE,30.56,48,1,0
BREST,30.55,41,1,0
LORIENT,30.43,45,1,0
ROCHEFORT,30.39,43,2,0
PLYMOUTH,30.55,50,2,0
WEYMOUTH,30.51,50,3,0
PORTSMOUTH,30.49,47,3,0
KEW,30.5,45,1,0
LONDON,30.48,46,4,0
DOVER,30.49,50,1,0
YARMOUTH,30.44,48,2,0
SCARBOROUGH,30.35,50,2,0
SHIELDS,30.35,55,3,0
HELIGOLAND,30.31,44,0,0
COPENHAGEN,29.91,47,999,0
HELDER,30.4,47,999,0
LISBON,30.19,52,999,0
