1863,4,4,Saturday,DWR_1863_04-2.jpg
NAIRN,29.61,42,3,0.1
ABERDEEN,29.59,48,5,0.15
LEITH,29.69,46,3,0
ARDROSSAN,29.77,44,3,0.15
PORTRUSH,29.81,48,2,0
GALWAY,29.99,46,2,0.15
VALENTIA,30.12,48,999,0.12
QUEENSTOWN,30.08,51,1,0
HOLYHEAD,29.88,49,1,0
LIVERPOOL,29.91,49,2,0
PEMBROKE,30.03,50,1,0
PENZANCE,30.14,50,1,0
BREST,30.2,48,2,0
LORIENT,30.16,50,2,0
ROCHEFORT,30.12,46,3,0
PLYMOUTH,30.1,50,3,0
WEYMOUTH,30.07,49,3,0
PORTSMOUTH,30.05,48,4,0
KEW,30.03,46,2,0
LONDON,30.03,47,3,0
DOVER,30.06,46,1,0
YARMOUTH,29.97,46,3,0
SCARBOROUGH,999,999,2,0
SHIELDS,29.78,50,9,0
HELIGOLAND,29.99,43,0,0
COPENHAGEN,29.98,38,999,0
HELDER,29.99,41,999,0
LISBON,999,999,999,999
