1862,5,21,Wednesday,DWR_1862_05-19.jpg
NAIRN,29.34,52,46,0
ABERDEEN,29.42,48,45,0.46
LEITH,29.43,56,51,0
BERWICK,29.48,52,47,0
ARDROSSAN,29.38,49,47,0.34
PORTRUSH,29.38,50,49,0.5
GALWAY,29.46,54,50,0
SHIELDS,29.5,50,45,0
SCARBOROUGH,29.53,52,48,0
HELIGOLAND,29.63,59,57,0
LIVERPOOL,29.52,51,46,0.09
QUEENSTOWN,29.53,48,46,0
VALENTIA,29.59,53,47,0.23
YARMOUTH,29.6,55,51,0
LONDON,29.61,52,48,0
DOVER,29.62,58,55,0
PORTSMOUTH,29.58,54,48,0
PORTLAND,29.58,55,50,0
PLYMOUTH,29.54,51,50,0.21
PENZANCE,29.6,52,49,0.47
JERSEY,29.67,52,49,0
COPENHAGEN,29.71,60,999,0
HELDER,29.65,56,999,0
BREST,29.68,53,999,0
BAYONNE,999,59,999,0
LISBON,30,64,999,0
