1863,1,1,Thursday,DWR_1863_01-0.jpg
NAIRN,29.17,44,3,0.23
ABERDEEN,29.25,43,2,999
LEITH,29.36,46,2,999
ARDROSSAN,29.39,47,3,0.32
PORTRUSH,29.41,44,1,0
GALWAY,29.52,48,0,0.07
VALENTIA,29.66,51,1,0.12
QUEENSTOWN,29.73,52,1,0
HOLYHEAD,29.64,50,1,0.1
LIVERPOOL,29.69,52,3,0
PEMBROKE,29.9,51,1,0.25
PENZANCE,30.05,52,1,0.25
BREST,30.26,50,1,0
JERSEY,30.24,47,1,0
LORIENT,30.27,50,2,0
ROCHEFORT,30.38,54,2,0
PLYMOUTH,30.05,51,1,0
WEYMOUTH,30.05,50,0,0.08
PORTSMOUTH,30.07,49,1,0
KEW,30.03,48,1,0
LONDON,30.02,48,1,0
YARMOUTH,29.98,45,1,0
SCARBOROUGH,29.63,47,2,0
SHIELDS,29.62,50,2,0
HELIGOLAND,30,40,1,0
COPENHAGEN,29.89,39,999,0
HELDER,30.03,45,999,0
BAYONNE,999,37,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
