1862,8,4,Monday,DWR_1862_08-2.jpg
NAIRN,29.89,63,58,0
ABERDEEN,29.93,57,54,0
LEITH,?29.73,?67,64,0
BERWICK,29.98,59,54,0
ARDROSSAN,29.84,59,57,0
PORTRUSH,29.79,53,49,0
GALWAY,29.67,60,58,0.1
VALENTIA,29.61,57,56,0.74
QUEENSTOWN,29.67,59,58,999
HOLYHEAD,29.88,60,57,0
LIVERPOOL,29.97,59,55,0
PEMBROKE,29.95,61,59,0
PENZANCE,29.96,61,60,0
PLYMOUTH,29.97,61,56,0
JERSEY,30.06,63,57,0.4
WEYMOUTH,30.02,62,57,0.06
PORTSMOUTH,30.04,62,57,0
DOVER,30.06,62,60,0
LONDON,30.06,60,55,0.07
YARMOUTH,29.94,63,58,0
SCARBOROUGH,30,59,56,0
SHIELDS,29.98,58,54,0
HELIGOLAND,30.1,58,55,0
HELDER,30.12,59,999,0
COPENHAGEN,30,58,999,0
BREST,30.01,56,999,0
BAYONNE,999,68,999,0
LISBON,30.1,66,999,0
