1863,9,16,Wednesday,DWR_1863_09-13.jpg
NAIRN,29.64,50,4,0.06
ABERDEEN,29.67,52,4,0
LEITH,29.78,53,4,0
SHIELDS,29.91,54,4,0
SCARBOROUGH,29.94,51,2,0
GREENCASTLE,29.92,52,2,0.06
GALWAY,30.1,55,0,0
VALENTIA,30.15,55,4,0.15
QUEENSTOWN,999,56,2,0
LIVERPOOL,30.03,55,6,0
HOLYHEAD,30.03,53,3,0
PEMBROKE,30.12,55,5,0
PENZANCE,30.17,57,2,0
BREST,30.2,55,3,0
LORIENT,30.16,54,2,0
ROCHEFORT,30.2,54,2,0
PLYMOUTH,30.12,58,2,0
WEYMOUTH,30.11,58,4,0
PORTSMOUTH,30.06,58,2,0
LONDON,30.05,56,2,0.02
DOVER,30.05,60,3,0
YARMOUTH,30.01,56,3,0
HELIGOLAND,29.88,57,0,0.1
