1862,5,19,Monday,DWR_1862_05-17.jpg
NAIRN,29.83,58,51,0
ABERDEEN,29.95,57,54,0
LEITH,29.95,58,54,0
BERWICK,30.08,60,56,0
ARDROSSAN,29.91,55,53,0
PORTRUSH,29.89,55,54,0
GALWAY,29.91,58,56,0
SHIELDS,30.02,57,56,0
SCARBOROUGH,30.07,59,56,0
HELIGOLAND,30.12,67,61,0
LIVERPOOL,30.07,60,54,0
QUEENSTOWN,29.96,61,60,0
VALENTIA,29.94,53,52,999
YARMOUTH,30.1,57,54,0
LONDON,30.12,56,55,0
DOVER,30.11,64,62,0
PORTSMOUTH,30.07,58,56,0
PORTLAND,30.11,59,55,0
PLYMOUTH,30.09,58,55,0
PENZANCE,30.13,59,58,0
JERSEY,30.15,60,55,0
COPENHAGEN,30.06,55,999,0
HELDER,30.11,56,999,0
BREST,30.13,53,999,0
BAYONNE,999,59,999,0
LISBON,30.04,64,999,0
