1862,2,19,Wednesday,DWR_1862_02-18.jpg
NAIRN,29.38,41,39,0
ABERDEEN,29.47,44,43,0.15
LEITH,29.49,46,44,0
BERWICK,29.53,46,44,0
ARDROSSAN,29.45,44,999,999
PORTRUSH,?29.33,41,40,0
GALWAY,29.23,45,999,0
SHIELDS,29.55,48,47,0
SCARBOROUGH,29.58,45,44,0.37
HELIGOLAND,29.89,36,35,0
LIVERPOOL,29.51,48,47,0.04
QUEENSTOWN,29.25,49,48,0
VALENTIA,29.12,49,47,0.15
YARMOUTH,29.7,45,44,0
LONDON,29.63,48,46,0.01
DOVER,29.62,47,46,0
PORTSMOUTH,29.54,47,46,0.07
PORTLAND,29.52,48,47,0.1
PLYMOUTH,29.39,49,48,0
PENZANCE,29.39,50,49,0.35
COPENHAGEN,30.03,32,999,0
HELDER,29.8,41,999,0
BREST,29.41,51,999,0
BAYONNE,29.77,61,999,0
LISBON,999,999,999,999
