1863,12,16,Wednesday,DWR_1863_12-13.jpg
NAIRN,29.26,40,3,0.19
ABERDEEN,29.25,42,999,0
LEITH,29.48,42,2,0
SHIELDS,29.61,46,4,0
SCARBOROUGH,29.67,46,1,0
GREENCASTLE,29.65,39,2,0.19
GALWAY,29.94,41,2,0.25
VALENTIA,30.09,47,4,0.22
CAPE CLEAR,30.06,50,2,0
QUEENSTOWN,29.96,47,2,0
LIVERPOOL,29.8,47,4,0.06
HOLYHEAD,29.83,46,1,0.07
PEMBROKE,29.99,48,3,0.13
PENZANCE,30.11,49,1,0.15
BREST,30.2,50,2,0
LORIENT,30.2,43,0,0
ROCHEFORT,30.28,39,0,0
PLYMOUTH,30.06,50,1,0
WEYMOUTH,30,51,2,0
PORTSMOUTH,30,50,2,0.14
LONDON,29.95,47,2,0
DOVER,29.96,54,1,0
YARMOUTH,29.83,46,1,0
HELIGOLAND,29.86,44,0,0
