1863,9,2,Wednesday,DWR_1863_09-1.jpg
NAIRN,29.44,53,4,0.08
ABERDEEN,29.47,56,2,0.2
LEITH,29.51,57,3,0
SHIELDS,29.61,57,3,0.2
SCARBOROUGH,29.7,55,1,0
GREENCASTLE,29.48,54,3,0.1
GALWAY,29.56,58,3,0.5
VALENTIA,29.66,54,3,0.7
QUEENSTOWN,999,57,2,0.47
LIVERPOOL,29.65,58,3,0.09
HOLYHEAD,29.6,55,2,0.5
PEMBROKE,29.71,51,0,0.35
PENZANCE,29.83,60,2,0
BREST,29.92,59,3,0
LORIENT,29.92,57,3,0
ROCHEFORT,30.08,54,2,0
PLYMOUTH,29.84,60,2,0
WEYMOUTH,29.87,59,3,0.17
PORTSMOUTH,29.97,58,2,0.13
LONDON,29.91,57,2,0
DOVER,29.95,999,999,0.07
YARMOUTH,29.89,57,3,0
HELIGOLAND,29.97,57,2,0.17
