1863,1,26,Monday,DWR_1863_01-22.jpg
NAIRN,29.45,47,3,0.2
ABERDEEN,29.6,45,2,0
LEITH,29.69,47,3,0
ARDROSSAN,29.73,46,2,0.15
PORTRUSH,29.74,44,1,0
GALWAY,29.87,49,2,0.35
VALENTIA,999,999,999,999
QUEENSTOWN,29.98,49,1,0.29
HOLYHEAD,29.96,47,1,0
LIVERPOOL,30.05,48,4,0.05
PEMBROKE,30.16,50,2,0.18
PENZANCE,30.31,50,1,0.2
JERSEY,999,999,999,999
BREST,30.43,46,1,999
LORIENT,30.43,48,2,0
ROCHEFORT,30.59,36,1,0
PLYMOUTH,30.35,49,1,0
WEYMOUTH,30.36,48,2,0.35
PORTSMOUTH,30.37,47,2,0
KEW,30.34,46,3,0
LONDON,30.35,47,4,0
YARMOUTH,30.26,42,2,0
SCARBOROUGH,30.03,44,2,0.18
SHIELDS,29.94,49,2,0
HELIGOLAND,30.16,43,0,0
COPENHAGEN,29.94,40,999,0
HELDER,30.28,45,999,0
BAYONNE,999,38,999,0
OPORTO,999,999,999,999
LISBON,30.47,47,999,0
