1862,3,12,Wednesday,DWR_1862_03-9.jpg
NAIRN,29.51,42,41,0.27
ABERDEEN,29.54,43,42,0
LEITH,29.57,48,46,0
BERWICK,29.58,48,46,0
ARDROSSAN,29.57,46,45,0.28
PORTRUSH,29.5,47,44,0
GALWAY,29.63,43,42,0
SHIELDS,29.57,49,47,0
SCARBOROUGH,29.6,47,46,0.18
HELIGOLAND,29.8,44,999,0
LIVERPOOL,29.65,47,45,999
QUEENSTOWN,29.78,47,45,0
VALENTIA,29.84,44,42,0.2
YARMOUTH,29.69,47,46,0.7
LONDON,29.7,49,48,999
DOVER,29.69,47,46,0.54
PORTSMOUTH,29.71,48,47,0.09
PORTLAND,29.75,49,47,0.1
PLYMOUTH,29.75,48,47,0.77
PENZANCE,29.85,48,46,0.25
COPENHAGEN,29.92,33,999,0
HELDER,29.73,47,999,0
BREST,29.86,49,999,0
BAYONNE,999,56,999,0
LISBON,30.27,58,999,0
