1863,1,30,Friday,DWR_1863_01-27.jpg
NAIRN,28.86,49,4,0.22
ABERDEEN,29,47,2,0
LEITH,29.07,50,999,0
ARDROSSAN,29.05,48,999,999
PORTRUSH,29.05,43,999,0
GALWAY,29.16,42,0,0.09
VALENTIA,29.23,47,2,999
QUEENSTOWN,29.27,52,0,0.21
HOLYHEAD,29.3,49,1,0.1
LIVERPOOL,29.4,52,3,0
PEMBROKE,29.47,51,1,0.1
PENZANCE,29.57,51,1,0
JERSEY,999,999,999,999
BREST,29.73,50,0,0.08
LORIENT,29.8,52,3,0
ROCHEFORT,29.96,39,2,0
PLYMOUTH,29.61,50,1,0.25
WEYMOUTH,29.64,50,1,0.14
PORTSMOUTH,29.65,49,2,0
KEW,29.66,49,1,0
LONDON,29.67,50,2,0
YARMOUTH,29.59,48,1,0
SCARBOROUGH,29.37,47,2,0
SHIELDS,29.3,49,3,0
HELIGOLAND,29.59,44,1,0.2
COPENHAGEN,29.84,40,999,0
HELDER,29.67,45,999,0
BAYONNE,999,34,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
