1863,4,16,Thursday,DWR_1863_04-13.jpg
NAIRN,29.88,47,2,0
ABERDEEN,29.97,46,2,0
LEITH,29.9,49,3,0
ARDROSSAN,29.94,48,2,0.25
PORTRUSH,29.92,47,2,0
GALWAY,30.04,51,0,0.35
VALENTIA,30.1,51,4,0.27
QUEENSTOWN,30.04,52,1,0
HOLYHEAD,29.98,47,1,0
LIVERPOOL,30.05,47,3,0
PEMBROKE,30.05,49,2,0
PENZANCE,30.06,51,1,0
BREST,30.08,46,2,0
LORIENT,30,45,3,0
ROCHEFORT,30.08,48,3,0.2
PLYMOUTH,30.06,47,3,0
WEYMOUTH,29.94,51,4,0
PORTSMOUTH,29.99,49,4,0.16
KEW,30.04,49,3,0
LONDON,30.02,51,4,0
DOVER,29.99,52,3,0
YARMOUTH,29.98,51,2,0
SCARBOROUGH,30.03,46,1,0
SHIELDS,30.06,48,2,0
HELIGOLAND,30.04,47,1,0
COPENHAGEN,999,999,999,999
HELDER,29.96,52,999,0
LISBON,30.08,57,999,0
