1866,6,16,Saturday,DWR_1866_06-28.jpg
SKUDDESNAES,999,999,999,
NAIRN,29.43,53,0,
ABERDEEN,29.43,54,0,
LEITH,29.54,54,0,
ARDROSSAN,29.49,51,0.16,
GREENCASTLE,29.54,53,0.1,
SHIELDS,29.65,54,0,
SCARBOROUGH,29.68,54,0.08,
HELIGOLAND,999,999,999,
LIVERPOOL,29.75,55,0.21,
HOLYHEAD,29.73,53,0.02,
HELDER,29.7,57,999,
YARMOUTH,29.76,53,0.43,
VALENTIA,29.92,55,0,
LONDON,29.83,57,0.03,
CAPECLEAR,29.91,56,999,
PORTSMOUTH,29.84,59,0.08,
WEYMOUTH,29.88,59,0,
PLYMOUTH,29.94,58,0,
PENZANCE,30,57,0,
BREST,30,57,0,
LORIENT,29.96,59,999,
ROCHEFORT,30.04,63,0.08,
CORUNNA,999,999,999,
