1862,3,24,Monday,DWR_1862_03-18.jpg
NAIRN,29.77,34,33,0
ABERDEEN,29.76,38,36,0
LEITH,29.67,39,37,0
BERWICK,29.69,41,39,0.28
ARDROSSAN,29.63,39,37,0
PORTRUSH,29.58,39,37,0
GALWAY,29.45,41,40,0
SHIELDS,29.62,39,37,0
SCARBOROUGH,29.59,39,38,0.53
HELIGOLAND,29.72,31,999,0
LIVERPOOL,29.53,38,37,0.63
QUEENSTOWN,29.44,51,50,0
VALENTIA,29.41,50,49,0.42
YARMOUTH,29.56,48,47,0.63
LONDON,29.58,50,49,0.6
DOVER,?29.61,51,50,0
PORTSMOUTH,29.58,49,47,0.62
PORTLAND,29.57,50,49,0.5
PLYMOUTH,29.5,51,50,1.32
PENZANCE,29.52,52,50,0.85
JERSEY,29.61,49,48,0.6
COPENHAGEN,29.91,29,999,0
HELDER,29.59,33,999,0
BREST,29.51,49,999,0
BAYONNE,999,58,999,0
LISBON,29.63,54,999,0
